event;transition_id;transition_name
протокол судебного заседания, в который внесено устное сообщение о другом преступлении;t1.2;Обращение другого ведомства
дело передано прокурором у органа дознания от одного органа предварительного расследования другому по п. 12 ч. 2 ст. 37 УПК РФ без снятия с учета;t5.4;Дело в производстве
материалы, которые поступили из налоговых органов в соответствии с законодательством о налогах и сборах для решения вопроса о возбуждении уголовного дела;t1.2;Обращение другого ведомства
дело направлено прокурором в суд в порядке ч. 4 ст. 317.5 УПК РФ;t7.1;Дело направлено прокурором в суд
материалы, которые направлены конкурсным управляющим (ликвидатором) финансовой организации для решения вопроса о возбуждении уголовного дела;t1.2;Обращение другого ведомства
дело направлено прокурором в суд в порядке ч. 1 ст. 427 УПК РФ;t7.1;Дело направлено прокурором в суд
материалы, которые направлены центральным банком российской федерации для решения вопроса о возбуждении уголовного дела;t1.2;Обращение другого ведомства
дело передано по подследственности по истечении срока, предоставляемого прокурором для производства дознания (ч. 3 ст. 223 УПК РФ);t6.4;Передать дело
в связи с отменой постановления следователя о возбуждении уголовного дела в порядке п.2 ч.1 ст. 39 УПК РФ;t5.2;Отмена возбуждения УД
дело направлено прокурором дознавателю для производства дознания в общем порядке согласно п.3.ч.1 ст.226.8 УПК РФ;t7.2;Прокурор вернул дело
в связи с отменой прокурором постановления об отказе в возбуждении уголовного дела по нереабилитирующим основаниям;t5.1;Отмена отказа в возбуждении УД
анонимное заявление, содержащее данные о признаках совершенного или готовящегося террористического акта;t1.1;Сообщение о происшествии
дело направлено прокурору в порядке ч. 1 ст. 427 УПК РФ;t6.3;Передать дело прокурору
дело (уголовное преследование) прекращено по нереабилитирующим основаниям: ст. 28.1 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: ст. 25 УПК РФ;t6.2;Прекратить дело
дело возвращено на дополнительное расследование прокурором в порядке п.2 ч.5 ст. 439 УПК РФ;t7.2;Прокурор вернул дело
дело направлено для производства предварительного следствия в порядке п.4 ч.1 ст.226 УПК РФ;t7.2;Прокурор вернул дело
дело передано по ч.6 ст.152 УПК РФ;t3.2;Материалы по доследственной проверке
вынесен обвинительный приговор в порядке ч. 5 ст. 302 УПК РФ;t9.1;Вынесение решения суда
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 1 ч. 1 ст. 27 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 1 ч. 1 ст. 439 УПК РФ;t6.2;Прекратить дело
рассмотрено судом;t8.1;рассмотрено судом
направлено руководителю следственного органа или дознавателю дело после возвращения судом прокурору в порядке ст. 237 УПК РФ;t7.2;Прокурор вернул дело
производство прекращено по нереабилитирующим основаниям;t6.2;Прекратить дело
дело направлено вышестоящему прокурору в порядке п.3 ч.1 ст. 221 УПК РФ;t6.3.1;Дело направлено вышестоящему прокурору
судом принято решение по ч. 1 ст. 443 УПК РФ;t9.1;Вынесение решения суда
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 5 ч. 1 ст. 24 УПК РФ;t6.2;Прекратить дело
дело возвращено для пересоставления обвинительного постановления в порядке п.2 ч.1 ст. 226.8 УПК РФ;t7.2;Прокурор вернул дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 4 ч. 1 ст. 27 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 1 ч. 2 ст. 302 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 6 ч. 1 ст. 24 УПК РФ;t6.2;Прекратить дело
в связи с отменой руководителем следственного органа постановления об отказе в возбуждении уголовного дела по нереабилитирующим основаниям;t5.1;Отмена отказа в возбуждении УД
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 5 ч. 1 ст. 27 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 6 ч. 1 ст. 27 УПК РФ;t6.2;Прекратить дело
вынесен оправдательный приговор в порядке ч. 2 ст. 302 УПК РФ;t9.1;Вынесение решения суда
дело (уголовное преследование) прекращено по реабилитирующим основаниям: ч. 2 ст. 20 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: ч. 2 ст. 443 УПК РФ;t6.2;Прекратить дело
в соответствии с решением суда по многоэпизодным делам;;
осуждено;t9.1;Вынесение решения суда
дело (уголовное преследование) прекращено по реабилитирующим основаниям: ч. 1 ст. 239 УПК РФ;t6.2;Прекратить дело
дело (уголовное преследование) прекращено по реабилитирующим основаниям: п. 3 ч. 2 ст. 302 УПК РФ;t6.2;Прекратить дело
